"Jour","Produit","Prix TVA incl."
"30MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.649
"31MAY21","Essence 95 RON E10 (€/L)",1.518
"31MAY21","Essence 98 RON E5 (€/L)",1.58
"31MAY21","Diesel B7 (€/L)",1.526
"31MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.62
"31MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.649
"01JUN21","Essence 95 RON E10 (€/L)",1.518
"01JUN21","Essence 98 RON E5 (€/L)",1.58
"01JUN21","Diesel B7 (€/L)",1.526
"01JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.625
"01JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.655
"02JUN21","Essence 95 RON E10 (€/L)",1.518
"02JUN21","Essence 98 RON E5 (€/L)",1.58
"02JUN21","Diesel B7 (€/L)",1.526
"02JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.623
"02JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.652
"03JUN21","Essence 95 RON E10 (€/L)",1.518
"03JUN21","Essence 98 RON E5 (€/L)",1.58
"03JUN21","Diesel B7 (€/L)",1.547
"03JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.629
"03JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.659
"04JUN21","Essence 95 RON E10 (€/L)",1.518
"04JUN21","Essence 98 RON E5 (€/L)",1.58
"04JUN21","Diesel B7 (€/L)",1.547
"04JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.635
"04JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.665
"05JUN21","Essence 95 RON E10 (€/L)",1.518
"05JUN21","Essence 98 RON E5 (€/L)",1.58
"05JUN21","Diesel B7 (€/L)",1.547
"05JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.634
"05JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.663
"06JUN21","Essence 95 RON E10 (€/L)",1.518
"06JUN21","Essence 98 RON E5 (€/L)",1.58
"06JUN21","Diesel B7 (€/L)",1.547
"06JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.634
"06JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.663
"07JUN21","Essence 95 RON E10 (€/L)",1.518
"07JUN21","Essence 98 RON E5 (€/L)",1.58
"07JUN21","Diesel B7 (€/L)",1.547
"07JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.634
"07JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.663
"08JUN21","Essence 95 RON E10 (€/L)",1.541
"08JUN21","Essence 98 RON E5 (€/L)",1.61
"08JUN21","Diesel B7 (€/L)",1.547
"08JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.641
"08JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.67
"09JUN21","Essence 95 RON E10 (€/L)",1.541
"09JUN21","Essence 98 RON E5 (€/L)",1.61
"09JUN21","Diesel B7 (€/L)",1.547
"09JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.638
"09JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.668
"10JUN21","Essence 95 RON E10 (€/L)",1.541
"10JUN21","Essence 98 RON E5 (€/L)",1.61
"10JUN21","Diesel B7 (€/L)",1.547
"10JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.638
"10JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.667
"11JUN21","Essence 95 RON E10 (€/L)",1.541
"11JUN21","Essence 98 RON E5 (€/L)",1.61
"11JUN21","Diesel B7 (€/L)",1.56
"11JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.641
"11JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.671
"12JUN21","Essence 95 RON E10 (€/L)",1.541
"12JUN21","Essence 98 RON E5 (€/L)",1.61
"12JUN21","Diesel B7 (€/L)",1.56
"12JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.645
"12JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.674
"13JUN21","Essence 95 RON E10 (€/L)",1.541
"13JUN21","Essence 98 RON E5 (€/L)",1.61
"13JUN21","Diesel B7 (€/L)",1.56
"13JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.645
"13JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.674
"14JUN21","Essence 95 RON E10 (€/L)",1.541
"14JUN21","Essence 98 RON E5 (€/L)",1.61
"14JUN21","Diesel B7 (€/L)",1.56
"14JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.645
"14JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.674
"15JUN21","Essence 95 RON E10 (€/L)",1.541
"15JUN21","Essence 98 RON E5 (€/L)",1.61
"15JUN21","Diesel B7 (€/L)",1.56
"15JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.646
"15JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.676
"16JUN21","Essence 95 RON E10 (€/L)",1.541
"16JUN21","Essence 98 RON E5 (€/L)",1.61
"16JUN21","Diesel B7 (€/L)",1.56
"16JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.65
"16JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.68
"17JUN21","Essence 95 RON E10 (€/L)",1.541
"17JUN21","Essence 98 RON E5 (€/L)",1.61
"17JUN21","Diesel B7 (€/L)",1.56
"17JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.652
"17JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.682
"18JUN21","Essence 95 RON E10 (€/L)",1.541
"18JUN21","Essence 98 RON E5 (€/L)",1.61
"18JUN21","Diesel B7 (€/L)",1.56
"18JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.659
"18JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.689
"19JUN21","Essence 95 RON E10 (€/L)",1.541
"19JUN21","Essence 98 RON E5 (€/L)",1.61
"19JUN21","Diesel B7 (€/L)",1.56
"19JUN21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.654
"19JUN21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.684
"20JUN21","Essence 95 RON E10 (€/L)",1.541
